,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-22 14:50:36.568022,2024-01-22 14:59:19.342566,0 days 00:08:42.774544,8,0.30000000000000004,,,microsoft/deberta-base,mlp,,0.003432359173539128,cross_entropy,14,RMSprop,COMPLETE
1,1,0.24328722538649308,2024-01-22 14:59:19.382652,2024-01-22 15:05:42.501764,0 days 00:06:23.119112,4,0.2,5.0,vinai/bertweet-base,,cnn,1.0,0.002055553184954193,focal,10,RMSprop,COMPLETE
2,2,0.5091076211466806,2024-01-22 15:05:42.540564,2024-01-22 15:12:13.059003,0 days 00:06:30.518439,8,0.2,4.0,xlm-roberta-base,,cnn,,0.0024030755276660868,cross_entropy,3,AdamW,COMPLETE
3,3,0.24328722538649308,2024-01-22 15:12:13.100368,2024-01-22 15:19:06.286780,0 days 00:06:53.186412,4,0.30000000000000004,5.0,bert-base-uncased,,cnn,2.0,0.006309818009661935,focal,10,AdamW,COMPLETE
4,4,0.6911389101674809,2024-01-22 15:19:06.315083,2024-01-22 15:40:56.334488,0 days 00:21:50.019405,4,0.30000000000000004,5.0,vinai/bertweet-base,,cnn,,0.0021463266079744525,cross_entropy,11,SGD,COMPLETE
5,5,0.1644144144144144,2024-01-22 15:40:56.376218,2024-01-22 15:43:16.081289,0 days 00:02:19.705071,8,0.1,,,roberta-base,mlp,,0.006893042455258378,cross_entropy,4,AdamW,PRUNED
6,6,0.1644144144144144,2024-01-22 15:43:16.110702,2024-01-22 15:46:01.177531,0 days 00:02:45.066829,4,0.1,,,vinai/bertweet-base,mlp,,0.007055035179559177,cross_entropy,10,RMSprop,PRUNED
7,7,0.3146449356352022,2024-01-22 15:46:01.230892,2024-01-22 15:50:28.518468,0 days 00:04:27.287576,4,0.5,,,roberta-base,mlp,,0.00021531198225247246,cross_entropy,4,SGD,COMPLETE
8,8,0.24739914335758173,2024-01-22 15:50:28.546226,2024-01-22 15:52:51.765743,0 days 00:02:23.219517,4,0.5,,,vinai/bertweet-base,mlp,,0.008093762095939046,cross_entropy,4,SGD,PRUNED
9,9,0.1644144144144144,2024-01-22 15:52:51.851557,2024-01-22 15:56:11.333123,0 days 00:03:19.481566,4,0.2,2.0,vinai/bertweet-base,,cnn,,0.00504306828769984,cross_entropy,14,Adam,PRUNED
