,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-22 15:56:15.666424,2024-01-22 16:02:18.324335,0 days 00:06:02.657911,8,0.30000000000000004,,,xlm-roberta-base,mlp,,0.003773472744106482,cross_entropy,12,AdamW,COMPLETE
1,1,0.24328722538649308,2024-01-22 16:02:18.351141,2024-01-22 16:06:56.655086,0 days 00:04:38.303945,8,0.4,,,roberta-base,mlp,,0.006859337210890127,cross_entropy,11,AdamW,COMPLETE
2,2,0.24328722538649308,2024-01-22 16:06:56.676487,2024-01-22 16:13:33.355024,0 days 00:06:36.678537,4,0.5,3.0,roberta-base,,cnn,5.0,0.0031058199434006954,focal,9,Adam,COMPLETE
3,3,0.6777105092840728,2024-01-22 16:13:33.394312,2024-01-22 16:18:29.710772,0 days 00:04:56.316460,8,0.4,1.0,bert-base-uncased,,cnn,,0.0006475074082491528,cross_entropy,14,AdamW,COMPLETE
4,4,0.6775358672316129,2024-01-22 16:18:29.742598,2024-01-22 16:28:34.324400,0 days 00:10:04.581802,8,0.5,5.0,vinai/bertweet-base,,cnn,4.0,0.0007114600696282384,focal,5,RMSprop,COMPLETE
5,5,0.24328722538649308,2024-01-22 16:28:34.359165,2024-01-22 16:34:02.847308,0 days 00:05:28.488143,4,0.5,,,vinai/bertweet-base,mlp,3.0,0.003298098008960188,focal,3,RMSprop,COMPLETE
6,6,0.24328722538649308,2024-01-22 16:34:02.868418,2024-01-22 16:44:49.616612,0 days 00:10:46.748194,4,0.1,,,microsoft/deberta-base,mlp,5.0,0.00859951054384565,focal,3,AdamW,COMPLETE
7,7,0.24328722538649308,2024-01-22 16:44:49.638547,2024-01-22 16:50:15.156185,0 days 00:05:25.517638,4,0.5,1.0,roberta-base,,cnn,3.0,0.009829535373591911,focal,14,RMSprop,COMPLETE
8,8,0.23920117254921935,2024-01-22 16:50:15.205478,2024-01-22 16:52:11.875675,0 days 00:01:56.670197,8,0.30000000000000004,,,bert-base-uncased,mlp,,0.006589427033499604,cross_entropy,6,SGD,PRUNED
9,9,0.24328722538649308,2024-01-22 16:52:11.956208,2024-01-22 16:58:33.701901,0 days 00:06:21.745693,4,0.2,5.0,roberta-base,,cnn,3.0,0.0036920553680201934,focal,8,RMSprop,COMPLETE
