,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
27,27,0.24328722538649308,2024-01-24 17:46:49.736864,2024-01-24 17:53:18.598251,0 days 00:06:28.861387,4,0.4,,,vinai/bertweet-base,mlp,1.0,0.00884418845470221,focal,10,AdamW,COMPLETE
28,28,0.24328722538649308,2024-01-24 17:53:18.622936,2024-01-24 17:58:17.903353,0 days 00:04:59.280417,8,0.5,5.0,bert-base-uncased,,cnn,,0.0031062759087526395,cross_entropy,11,Adam,COMPLETE
29,29,0.24328722538649308,2024-01-24 17:58:17.954901,2024-01-24 18:03:26.505602,0 days 00:05:08.550701,4,0.5,,,bert-base-uncased,mlp,3.0,0.007737653655296887,focal,13,RMSprop,COMPLETE
30,30,0.24328722538649308,2024-01-24 18:03:26.527182,2024-01-24 18:08:51.220541,0 days 00:05:24.693359,4,0.30000000000000004,,,xlm-roberta-base,mlp,3.0,0.007023518571675871,focal,9,SGD,COMPLETE
31,31,0.24328722538649308,2024-01-24 18:08:51.243513,2024-01-24 18:14:39.568979,0 days 00:05:48.325466,8,0.30000000000000004,,,microsoft/deberta-base,mlp,2.0,0.005566561191682871,focal,2,RMSprop,COMPLETE
32,32,0.24328722538649308,2024-01-24 18:14:39.595126,2024-01-24 18:20:31.598286,0 days 00:05:52.003160,8,0.30000000000000004,,,microsoft/deberta-base,mlp,2.0,0.004421779341512049,focal,4,RMSprop,COMPLETE
33,33,0.24328722538649308,2024-01-24 18:20:31.620224,2024-01-24 18:26:21.963398,0 days 00:05:50.343174,8,0.4,,,microsoft/deberta-base,mlp,1.0,0.004323774373735757,focal,4,RMSprop,COMPLETE
34,34,0.24328722538649308,2024-01-24 18:26:21.984973,2024-01-24 18:32:15.606165,0 days 00:05:53.621192,8,0.2,,,microsoft/deberta-base,mlp,2.0,0.003673274995698474,focal,14,RMSprop,COMPLETE
35,35,0.1644144144144144,2024-01-24 18:32:15.628162,2024-01-24 18:34:27.791931,0 days 00:02:12.163769,8,0.4,,,roberta-base,mlp,1.0,0.0021512105877982044,focal,7,RMSprop,PRUNED
36,36,0.1644144144144144,2024-01-24 18:34:27.919130,2024-01-24 18:37:36.416791,0 days 00:03:08.497661,8,0.30000000000000004,,,microsoft/deberta-base,mlp,,0.0032065047501729314,cross_entropy,4,AdamW,PRUNED
37,37,0.6202741956551496,2024-01-24 18:37:36.498183,2024-01-24 18:46:42.288649,0 days 00:09:05.790466,4,0.4,4.0,xlm-roberta-base,,cnn,2.0,0.00981629912147797,focal,5,SGD,PRUNED
38,38,0.24328722538649308,2024-01-24 18:46:42.648070,2024-01-24 18:51:12.102744,0 days 00:04:29.454674,8,0.4,,,bert-base-uncased,mlp,,0.004684776564809449,cross_entropy,10,AdamW,COMPLETE
39,39,0.24328722538649308,2024-01-24 18:51:12.130350,2024-01-24 18:56:46.901140,0 days 00:05:34.770790,4,0.2,,,vinai/bertweet-base,mlp,4.0,0.006036954723514104,focal,3,RMSprop,COMPLETE
