,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
27,27,0.24328722538649308,2024-01-25 18:57:20.162055,2024-01-25 19:00:32.752754,0 days 00:03:12.590699,4,0.1,3.0,vinai/bertweet-base,,cnn,,0.005656743849115881,cross_entropy,12,Adam,PRUNED
28,28,0.24328722538649308,2024-01-25 19:00:32.859189,2024-01-25 19:03:59.373503,0 days 00:03:26.514314,4,0.2,2.0,vinai/bertweet-base,,cnn,,0.006652092845545526,cross_entropy,11,AdamW,PRUNED
29,29,0.24328722538649308,2024-01-25 19:03:59.407898,2024-01-25 19:06:48.943083,0 days 00:02:49.535185,4,0.5,1.0,xlm-roberta-base,,cnn,,0.008771333364272207,cross_entropy,11,SGD,PRUNED
30,30,0.6985875011310171,2024-01-25 19:06:49.240994,2024-01-25 19:26:34.901004,0 days 00:19:45.660010,4,0.30000000000000004,2.0,vinai/bertweet-base,,cnn,,0.007337677162646834,cross_entropy,14,SGD,COMPLETE
31,31,0.6687449190495617,2024-01-25 19:26:34.948491,2024-01-25 19:34:07.356811,0 days 00:07:32.408320,4,0.30000000000000004,2.0,vinai/bertweet-base,,cnn,,0.007197110963292462,cross_entropy,14,SGD,PRUNED
32,32,0.6793879324298632,2024-01-25 19:34:07.406672,2024-01-25 19:46:54.473758,0 days 00:12:47.067086,4,0.2,3.0,vinai/bertweet-base,,cnn,,0.004950244531872099,cross_entropy,13,SGD,PRUNED
33,33,0.6977859859366878,2024-01-25 19:46:54.503792,2024-01-25 20:07:06.534992,0 days 00:20:12.031200,4,0.1,2.0,vinai/bertweet-base,,cnn,,0.0061221088381924705,cross_entropy,15,SGD,COMPLETE
34,34,0.24328722538649308,2024-01-25 20:07:06.577899,2024-01-25 20:10:17.778560,0 days 00:03:11.200661,4,0.30000000000000004,,,roberta-base,mlp,,0.003774387560957224,cross_entropy,13,AdamW,PRUNED
35,35,0.619737264442702,2024-01-25 20:10:17.809620,2024-01-25 20:17:56.414329,0 days 00:07:38.604709,4,0.2,3.0,vinai/bertweet-base,,cnn,,0.007335394041958792,cross_entropy,12,SGD,PRUNED
36,36,0.6033984451870538,2024-01-25 20:17:56.437882,2024-01-25 20:22:04.278896,0 days 00:04:07.841014,8,0.4,2.0,vinai/bertweet-base,,cnn,,0.008255740748958188,cross_entropy,14,SGD,PRUNED
37,37,0.24328722538649308,2024-01-25 20:22:04.353180,2024-01-25 20:24:59.562183,0 days 00:02:55.209003,4,0.4,,,bert-base-uncased,mlp,,0.009307817462870776,cross_entropy,10,AdamW,PRUNED
38,38,0.24328722538649308,2024-01-25 20:24:59.649010,2024-01-25 20:27:20.458540,0 days 00:02:20.809530,8,0.4,3.0,vinai/bertweet-base,,cnn,,0.004600298890222744,cross_entropy,15,RMSprop,PRUNED
39,39,0.1644144144144144,2024-01-25 20:27:20.522480,2024-01-25 20:29:48.177371,0 days 00:02:27.654891,8,0.5,2.0,vinai/bertweet-base,,cnn,,0.005980316732075689,cross_entropy,13,Adam,PRUNED
